Language Task Size Select_size Model Metric Value
btz surSeg 2000 250 transformer precision 0.28291666666666665
btz surSeg 2000 250 transformer recall 0.27271666666666666
btz surSeg 2000 250 transformer f1 0.274
btz surSeg 2000 275 transformer precision 0.28168333333333334
btz surSeg 2000 275 transformer recall 0.26166666666666666
btz surSeg 2000 275 transformer f1 0.26795
btz surSeg 2000 300 transformer precision 0.28959999999999997
btz surSeg 2000 300 transformer recall 0.2791166666666667
btz surSeg 2000 300 transformer f1 0.28
btz surSeg 2000 325 transformer precision 0.287
btz surSeg 2000 325 transformer recall 0.26888333333333336
btz surSeg 2000 325 transformer f1 0.27393333333333336
btz surSeg 2000 350 transformer precision 0.30765
btz surSeg 2000 350 transformer recall 0.299
btz surSeg 2000 350 transformer f1 0.29883333333333334
btz surSeg 2000 375 transformer precision 0.28613333333333335
btz surSeg 2000 375 transformer recall 0.2774666666666667
btz surSeg 2000 375 transformer f1 0.278
btz surSeg 2000 400 transformer precision 0.28136666666666665
btz surSeg 2000 400 transformer recall 0.2692333333333333
btz surSeg 2000 400 transformer f1 0.27103333333333335
btz surSeg 2000 425 transformer precision 0.28815
btz surSeg 2000 425 transformer recall 0.2820666666666667
btz surSeg 2000 425 transformer f1 0.2816
btz surSeg 2000 450 transformer precision 0.28486666666666666
btz surSeg 2000 450 transformer recall 0.2645
btz surSeg 2000 450 transformer f1 0.2710166666666667
btz surSeg 2000 475 transformer precision 0.28136666666666665
btz surSeg 2000 475 transformer recall 0.27895
btz surSeg 2000 475 transformer f1 0.2762833333333333
btz surSeg 2000 500 transformer precision 0.2848
btz surSeg 2000 500 transformer recall 0.2816666666666667
btz surSeg 2000 500 transformer f1 0.27973333333333333
btz surSeg 2000 525 transformer precision 0.2883
btz surSeg 2000 525 transformer recall 0.28478333333333333
btz surSeg 2000 525 transformer f1 0.28331666666666666
btz surSeg 2000 550 transformer precision 0.28573333333333334
btz surSeg 2000 550 transformer recall 0.27385
btz surSeg 2000 550 transformer f1 0.27616666666666667
btz surSeg 2000 575 transformer precision 0.28573333333333334
btz surSeg 2000 575 transformer recall 0.26881666666666665
btz surSeg 2000 575 transformer f1 0.2741166666666667
