Language Task Size Select_size Model Metric Value
btz surSeg 100 950 transformer f1 0.11023333333333334
btz surSeg 100 975 transformer precision 0.083
btz surSeg 100 975 transformer recall 0.07733333333333334
btz surSeg 100 975 transformer f1 0.07763333333333333
btz surSeg 500 0 transformer precision 0.16244999999999998
btz surSeg 500 0 transformer recall 0.14726666666666666
btz surSeg 500 0 transformer f1 0.1511
btz surSeg 500 25 transformer precision 0.16941666666666666
btz surSeg 500 25 transformer recall 0.15480000000000002
btz surSeg 500 25 transformer f1 0.15853333333333333
btz surSeg 500 50 transformer precision 0.14718333333333333
btz surSeg 500 50 transformer recall 0.1349
btz surSeg 500 50 transformer f1 0.13770000000000002
btz surSeg 500 75 transformer precision 0.16306666666666667
btz surSeg 500 75 transformer recall 0.1537
btz surSeg 500 75 transformer f1 0.15498333333333333
btz surSeg 500 100 transformer precision 0.15993333333333334
btz surSeg 500 100 transformer recall 0.14626666666666666
btz surSeg 500 100 transformer f1 0.14978333333333332
btz surSeg 500 125 transformer precision 0.17266666666666666
btz surSeg 500 125 transformer recall 0.15565
btz surSeg 500 125 transformer f1 0.15991666666666668
btz surSeg 500 150 transformer precision 0.14385
btz surSeg 500 150 transformer recall 0.13185
btz surSeg 500 150 transformer f1 0.13471666666666668
btz surSeg 500 175 transformer precision 0.16226666666666667
btz surSeg 500 175 transformer recall 0.15076666666666666
btz surSeg 500 175 transformer f1 0.15268333333333334
btz surSeg 500 200 transformer precision 0.17173333333333335
btz surSeg 500 200 transformer recall 0.15560000000000002
btz surSeg 500 200 transformer f1 0.15915
btz surSeg 500 225 transformer precision 0.17246666666666666
btz surSeg 500 225 transformer recall 0.156
btz surSeg 500 225 transformer f1 0.16001666666666667
btz surSeg 500 250 transformer precision 0.16648333333333334
btz surSeg 500 250 transformer recall 0.15046666666666667
btz surSeg 500 250 transformer f1 0.15436666666666668
btz surSeg 500 275 transformer precision 0.16845000000000002
btz surSeg 500 275 transformer recall 0.1562
btz surSeg 500 275 transformer f1 0.15886666666666666
btz surSeg 500 300 transformer precision 0.16595
btz surSeg 500 300 transformer recall 0.15256666666666666
btz surSeg 500 300 transformer f1 0.15506666666666666
btz surSeg 500 325 transformer precision 0.1558
btz surSeg 500 325 transformer recall 0.13836666666666667
btz surSeg 500 325 transformer f1 0.14395
btz surSeg 500 350 transformer precision 0.17191666666666666
btz surSeg 500 350 transformer recall 0.16088333333333332
btz surSeg 500 350 transformer f1 0.16306666666666667
btz surSeg 500 375 transformer precision 0.1605
btz surSeg 500 375 transformer recall 0.14755000000000001
btz surSeg 500 375 transformer f1 0.15058333333333332
btz surSeg 500 400 transformer precision 0.17161666666666667
btz surSeg 500 400 transformer recall 0.15433333333333335
btz surSeg 500 400 transformer f1 0.15901666666666667
btz surSeg 500 425 transformer precision 0.15743333333333334
btz surSeg 500 425 transformer recall 0.15005000000000002
btz surSeg 500 425 transformer f1 0.15013333333333334
btz surSeg 500 450 transformer precision 0.17081666666666667
btz surSeg 500 450 transformer recall 0.15811666666666668
btz surSeg 500 450 transformer f1 0.16048333333333334
btz surSeg 500 475 transformer precision 0.17325
btz surSeg 500 475 transformer recall 0.1621166666666667
btz surSeg 500 475 transformer f1 0.16365
btz surSeg 500 500 transformer precision 0.18246666666666667
btz surSeg 500 500 transformer recall 0.1749
btz surSeg 500 500 transformer f1 0.17428333333333335
btz surSeg 500 525 transformer precision 0.16345
btz surSeg 500 525 transformer recall 0.14921666666666666
btz surSeg 500 525 transformer f1 0.15241666666666667
btz surSeg 500 550 transformer precision 0.16611666666666666
btz surSeg 500 550 transformer recall 0.15618333333333334
btz surSeg 500 550 transformer f1 0.1566
btz surSeg 500 575 transformer precision 0.17246666666666666
btz surSeg 500 575 transformer recall 0.15293333333333334
btz surSeg 500 575 transformer f1 0.15888333333333332
btz surSeg 500 600 transformer precision 0.1808
btz surSeg 500 600 transformer recall 0.16365
btz surSeg 500 600 transformer f1 0.16846666666666665
btz surSeg 500 625 transformer precision 0.16703333333333334
btz surSeg 500 625 transformer recall 0.15325
btz surSeg 500 625 transformer f1 0.15666666666666668
btz surSeg 500 650 transformer precision 0.16646666666666668
btz surSeg 500 650 transformer recall 0.14948333333333333
btz surSeg 500 650 transformer f1 0.1537
btz surSeg 500 675 transformer precision 0.1708
btz surSeg 500 675 transformer recall 0.15711666666666668
btz surSeg 500 675 transformer f1 0.15986666666666668
btz surSeg 500 700 transformer precision 0.16668333333333332
btz surSeg 500 700 transformer recall 0.15561666666666668
btz surSeg 500 700 transformer f1 0.1576
btz surSeg 500 725 transformer precision 0.16351666666666667
btz surSeg 500 725 transformer recall 0.15433333333333332
btz surSeg 500 725 transformer f1 0.15618333333333334
btz surSeg 500 750 transformer precision 0.1695
btz surSeg 500 750 transformer recall 0.15965000000000001
btz surSeg 500 750 transformer f1 0.16058333333333333
btz surSeg 500 775 transformer precision 0.16428333333333334
btz surSeg 500 775 transformer recall 0.15118333333333334
btz surSeg 500 775 transformer f1 0.15461666666666668
btz surSeg 500 800 transformer precision 0.15413333333333334
btz surSeg 500 800 transformer recall 0.14645
btz surSeg 500 800 transformer f1 0.1468
btz surSeg 500 825 transformer precision 0.16358333333333333
btz surSeg 500 825 transformer recall 0.14253333333333335
btz surSeg 500 825 transformer f1 0.1487
btz surSeg 500 850 transformer precision 0.1675
btz surSeg 500 850 transformer recall 0.15088333333333334
btz surSeg 500 850 transformer f1 0.15555
btz surSeg 500 875 transformer precision 0.1529
btz surSeg 500 875 transformer recall 0.14606666666666668
btz surSeg 500 875 transformer f1 0.14611666666666667
btz surSeg 500 900 transformer precision 0.18165
